TOKEN,NE-COARSE-LIT,NE-COARSE-METO,NE-FINE-LIT,NE-FINE-METO,NE-FINE-COMP,NE-NESTED,NEL-LIT,NEL-METO,MISC
un,I-PER,_,O,_,_,O,_,_,_
Porte,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
Monnais,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
Solide,I-PER,_,O,_,_,O,_,_,_
et,I-PER,_,O,_,_,O,_,_,_
Pratique,I-PER,_,O,_,_,O,_,_,_
achter,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
velle,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,_
40,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Prix:,I-PER,_,O,_,_,O,_,_,_
Maroquin,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
1,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
95,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Veau,I-PER,_,O,_,_,O,_,_,_
russe,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
2,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
45,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
45,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
3,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
95,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Gros,I-PER,_,O,_,_,O,_,_,_
:,B-ORG,_,O,_,_,O,_,_,_
BONNARDEL,B-HumanProd,_,O,_,_,O,NIL,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,NIL,_,_
tanneur,I-PER,_,O,_,_,O,NIL,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
Lyon,I-ORG,_,O,_,_,O,Q456,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
aveux,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
sommer,I-ORG,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
revenir,O,_,O,_,_,O,_,_,_
à,O,_,O,_,_,O,_,_,_
moi,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
gner,I-PER,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
elle,O,_,O,_,_,O,_,_,_
tous,I-PER,_,O,_,_,O,_,_,_
ceux,O,_,O,_,_,O,_,_,_
qui,I-PER,_,O,_,_,O,_,_,_
voudraient,I-PER,_,O,_,_,O,_,_,_
s,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
en,O,_,O,_,_,O,_,_,NoSpaceAfter
approcher,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,O,_,O,_,_,O,_,_,_
Et,I-PER,_,O,_,_,O,_,_,_
si,O,_,O,_,_,O,_,_,_
elle,I-PER,_,O,_,_,O,_,_,_
refuse,I-PER,_,O,_,_,O,_,_,_
?,O,_,O,_,_,O,_,_,NoSpaceAfter
—,O,_,O,_,_,O,_,_,_
Je,I-PER,_,O,_,_,O,_,_,_
tuerai,I-PER,_,O,_,_,O,_,_,_
ceux,I-PER,_,O,_,_,O,_,_,_
qui,I-PER,_,O,_,_,O,_,_,_
oseront,I-PER,_,O,_,_,O,_,_,_
l,O,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
aimer,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
M,I-PER,_,O,_,_,O,NIL,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,NIL,_,_
de,O,_,O,_,_,O,NIL,_,_
Vançay,O,_,O,_,_,O,NIL,_,_
haussa,I-PER,_,O,_,_,O,_,_,_
les,B-HumanProd,_,O,_,_,O,_,_,_
épaules,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,I-PER,_,O,_,_,O,_,_,_
C,O,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
est,I-PER,_,O,_,_,O,_,_,_
absurde,O,_,O,_,_,O,_,_,_
!,I-PER,_,O,_,_,O,_,_,_
murmura,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
-,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
t,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
-,O,_,O,_,_,O,_,_,NoSpaceAfter
il,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Pour,I-PER,_,O,_,_,O,_,_,_
toute,B-ORG,_,O,_,_,O,_,_,_
réponse,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
Horace,B-ORG,_,O,_,_,O,NIL,_,_
chercha,I-PER,_,O,_,_,O,_,_,_
à,O,_,O,_,_,O,_,_,_
pas¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
ser,B-ORG,_,O,_,_,O,_,_,_
devant,I-PER,_,O,_,_,O,_,_,_
lui,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Le,I-PER,_,O,_,_,O,_,_,_
baron,B-HumanProd,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
retint,O,_,O,_,_,O,_,_,_
encore,O,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,B-ORG,_,O,_,_,O,_,_,_
Attends,I-PER,_,O,_,_,O,_,_,_
au,I-PER,_,O,_,_,O,_,_,_
moins,I-PER,_,O,_,_,O,_,_,_
l,O,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
entr,O,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
acte,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,I-ORG,_,O,_,_,O,_,_,_
Non,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
",",B-HumanProd,_,O,_,_,O,_,_,_
dit,I-PER,_,O,_,_,O,_,_,_
Horace,I-HumanProd,_,O,_,_,O,NIL,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
il,I-PER,_,O,_,_,O,_,_,_
faut,I-ORG,_,O,_,_,O,_,_,_
que,I-PER,_,O,_,_,O,_,_,_
je,I-LOC,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
voie,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
!,O,_,O,_,_,O,_,_,NoSpaceAfter
Et,O,_,O,_,_,O,_,_,_
il,O,_,O,_,_,O,_,_,_
traversa,I-ORG,_,O,_,_,O,_,_,_
l,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
orchestre,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
XVI,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
CHARLOTTE,I-PER,_,O,_,_,O,NIL,_,_
DE,I-PER,_,O,_,_,O,NIL,_,_
NANGIS,I-PER,_,O,_,_,O,NIL,_,NoSpaceAfter
Quand,I-PER,_,O,_,_,O,_,_,_
Horace,I-PER,_,O,_,_,O,NIL,_,_
alla,B-ORG,_,O,_,_,O,_,_,_
heurter,I-PER,_,O,_,_,O,_,_,_
à,I-LOC,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
porte,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
la,O,_,O,_,_,O,_,_,_
loge,I-PER,_,O,_,_,O,_,_,_
ou,I-PER,_,O,_,_,O,_,_,_
se,B-HumanProd,_,O,_,_,O,_,_,_
trouvait,O,_,O,_,_,O,_,_,_
Liliane,B-ORG,_,O,_,_,O,NIL,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
un,I-PER,_,O,_,_,O,_,_,_
ouvreuse,O,_,O,_,_,O,_,_,NoSpaceAfter
se,B-ORG,_,O,_,_,O,_,_,_
précipita,I-PER,_,O,_,_,O,_,_,_
:,O,_,O,_,_,O,_,_,NoSpaceAfter
—,O,_,O,_,_,O,_,_,_
Vous,I-PER,_,O,_,_,O,_,_,_
vous,I-PER,_,O,_,_,O,_,_,_
trompez,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
monsieur,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
Il,I-PER,_,O,_,_,O,_,_,_
y,I-PER,_,O,_,_,O,_,_,_
a,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
quelqu,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
un,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,O,_,O,_,_,O,_,_,_
Je,I-PER,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
sais,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Une,O,_,O,_,_,O,_,_,_
dame,I-PER,_,O,_,_,O,_,_,_
que,I-PER,_,O,_,_,O,_,_,_
je,I-PER,_,O,_,_,O,_,_,_
con¬,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
nais,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,O,_,O,_,_,O,_,_,_
Mme,I-PER,_,O,_,_,O,NIL,_,_
de,O,_,O,_,_,O,NIL,_,_
Nangis,I-PER,_,O,_,_,O,NIL,_,NoSpaceAfter
?,I-PER,_,O,_,_,O,_,_,_
Cette,I-PER,_,O,_,_,O,_,_,_
dame,O,_,O,_,_,O,_,_,_
m,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
a,I-PER,_,O,_,_,O,_,_,_
dit,O,_,O,_,_,O,_,_,NoSpaceAfter
qu,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
elle,I-PER,_,O,_,_,O,_,_,_
ne,B-ORG,_,O,_,_,O,_,_,_
voulait,O,_,O,_,_,O,_,_,_
pas,O,_,O,_,_,O,_,_,_
être,O,_,O,_,_,O,_,_,_
dérangée,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
En,O,_,O,_,_,O,_,_,_
entendant,O,_,O,_,_,O,_,_,_
ce,B-ORG,_,O,_,_,O,_,_,_
nom,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
Nangis,B-HumanProd,_,O,_,_,O,NIL,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
Horace,B-ORG,_,O,_,_,O,NIL,_,NoSpaceAfter
avait,O,_,O,_,_,O,_,_,_
eu,B-ORG,_,O,_,_,O,_,_,_
une,O,_,O,_,_,O,_,_,_
hésitation,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Se,I-PER,_,O,_,_,O,_,_,_
serait,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
il,O,_,O,_,_,O,_,_,_
trompé,I-PER,_,O,_,_,O,_,_,_
?,O,_,O,_,_,O,_,_,NoSpaceAfter
Il,I-PER,_,O,_,_,O,_,_,_
regarda,I-PER,_,O,_,_,O,_,_,_
par,I-PER,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
petit,I-PER,_,O,_,_,O,_,_,_
carreau,I-PER,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
la,O,_,O,_,_,O,_,_,NoSpaceAfter
loge,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
C,O,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
était,I-PER,_,O,_,_,O,_,_,_
bien,O,_,O,_,_,O,_,_,_
Liliane,I-PER,_,O,_,_,O,NIL,_,_
qui,I-PER,_,O,_,_,O,_,_,_
était,I-PER,_,O,_,_,O,_,_,_
là,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Il,I-PER,_,O,_,_,O,_,_,_
sortit,B-ORG,_,O,_,_,O,_,_,_
de,B-ORG,_,O,_,_,O,_,_,_
son,O,_,O,_,_,O,_,_,_
porte,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
monnaie,I-PER,_,O,_,_,O,_,_,_
une,I-PER,_,O,_,_,O,_,_,_
pièce,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
or,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
la,O,_,O,_,_,O,_,_,_
remit,O,_,O,_,_,O,_,_,_
à,I-PER,_,O,_,_,O,_,_,_
l,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
ouvreuse,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,O,_,O,_,_,O,_,_,_
Voulez,O,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
vous,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
lui,B-ORG,_,O,_,_,O,_,_,_
dit,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
-,O,_,O,_,_,O,_,_,NoSpaceAfter
il,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
passer,I-PER,_,O,_,_,O,_,_,_
ma,I-PER,_,O,_,_,O,_,_,_
carte,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
à,O,_,O,_,_,O,_,_,_
cette,I-PER,_,O,_,_,O,_,_,_
dame,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,B-ORG,_,O,_,_,O,_,_,_
Certainement,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
monsieur,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
dit,B-ORG,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
femme,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
que,B-ORG,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
vue,O,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
l,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
or,O,_,O,_,_,O,_,_,_
avait,O,_,O,_,_,O,_,_,_
rendue,O,_,O,_,_,O,_,_,_
gracieuse,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
En,I-ORG,_,O,_,_,O,_,_,_
raison,I-PER,_,O,_,_,O,_,_,_
du,I-PER,_,O,_,_,O,_,_,_
terme,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
visiter,I-PER,_,O,_,_,O,_,_,_
aux,I-PER,_,O,_,_,O,_,_,_
Grands,I-PER,_,O,_,_,O,Q1543030,_,NoSpaceAfter
Magasins,I-PER,_,O,_,_,O,Q1543030,_,_
Dufayel,I-ORG,_,O,_,_,B-PER,Q1543030,_,_
l,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
exposition,I-ORG,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
mobiliers,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
par,I-PER,_,O,_,_,O,_,_,_
milliers,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
sièges,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",B-HumanProd,_,O,_,_,O,_,_,_
tapis,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
tentures,O,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
Arti¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
cles,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
chauffage,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
éclairage,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-LOC,_,O,_,_,O,_,_,_
ménage,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
literie,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
voyage,I-PER,_,O,_,_,O,_,_,_
et,I-LOC,_,O,_,_,O,_,_,_
sports,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
cycles,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
voitures,I-ORG,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
enfants,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
machines,O,_,O,_,_,O,_,_,_
à,I-PER,_,O,_,_,O,_,_,_
coudre,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
etc,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Concert,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
cinémato¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
graphe,B-ORG,_,O,_,_,O,_,_,_
et,I-PER,_,O,_,_,O,_,_,_
five,I-PER,_,O,_,_,O,_,_,_
o,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
clock,I-PER,_,O,_,_,O,_,_,_
tea,O,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
(,O,_,O,_,_,O,_,_,NoSpaceAfter
Communiqué,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
),B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
Les,I-PER,_,O,_,_,O,_,_,_
étrangers,O,_,O,_,_,O,_,_,_
savourent,I-PER,_,O,_,_,O,_,_,_
avec,O,_,O,_,_,O,_,_,_
délices,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
dans,O,_,O,_,_,O,_,_,_
nos,I-PER,_,O,_,_,O,_,_,_
grands,B-HumanProd,_,O,_,_,O,_,_,_
restaurants,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
Petit,O,_,O,_,_,O,_,_,_
pain,O,_,O,_,_,O,_,_,NoSpaceAfter
Richelieu,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
92,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
création,I-ORG,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
la,O,_,O,_,_,O,_,_,_
maison,I-PER,_,O,_,_,O,NIL,_,_
Zang,I-ORG,_,O,_,_,B-PER,NIL,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
objet,O,_,O,_,_,O,_,_,_
de,I-ORG,_,O,_,_,O,_,_,_
nombreuses,O,_,O,_,_,O,_,_,_
imitations,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
(,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
Communiqué,O,_,O,_,_,O,_,_,NoSpaceAfter
),B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
FEUILLETON,I-PER,_,O,_,_,O,_,_,_
DU,I-PER,_,O,_,_,O,_,_,_
«,I-PER,_,O,_,_,O,_,_,_
MATIN,I-PER,_,O,_,_,O,Q3224404,_,_
»,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
DU,I-PER,_,O,_,_,O,_,_,_
15,I-PER,_,O,_,_,O,_,_,_
JANVIER,B-ORG,_,O,_,_,O,_,_,_
1910,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
Grand,I-PER,_,O,_,_,O,_,_,_
roman,I-PER,_,O,_,_,O,_,_,_
inédit,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
PAR,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
Léon,I-PER,_,B-PER.author,_,_,O,Q3271324,_,_
SAZIE,B-ORG,_,I-PER.author,_,_,O,Q3271324,_,NoSpaceAfter
LIVRE,I-PER,_,O,_,_,O,_,_,_
PREMIER,O,_,O,_,_,O,_,_,NoSpaceAfter
LE,I-PER,_,O,_,_,O,_,_,_
MAITRE,I-PER,_,O,_,_,O,_,_,_
INVISIBLE,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
XXVIII,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
POUR,O,_,O,_,_,O,_,_,_
VAINCRE,I-PER,_,O,_,_,O,_,_,_
RIRI,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Mais,I-PER,_,O,_,_,O,_,_,_
sans,O,_,O,_,_,O,_,_,_
que,O,_,O,_,_,O,_,_,_
Riri,O,_,O,_,_,O,NIL,_,_
s,O,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
en,I-PER,_,O,_,_,O,_,_,_
doutât,I-PER,_,O,_,_,O,_,_,_
une,O,_,O,_,_,O,_,_,NoSpaceAfter
camarade,I-PER,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
atelier,I-PER,_,O,_,_,O,_,_,_
avait,I-PER,_,O,_,_,O,_,_,_
aperçu,B-HumanProd,_,O,_,_,O,_,_,_
tout,I-PER,_,O,_,_,O,_,_,_
ce,B-ORG,_,O,_,_,O,_,_,_
ma¬,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
nège,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
toute,I-PER,_,O,_,_,O,_,_,_
cette,I-PER,_,O,_,_,O,_,_,_
scène,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Naturellement,B-ORG,_,O,_,_,O,_,_,_
elle,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
s,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
empressa,I-PER,_,O,_,_,O,_,_,_
de,B-ORG,_,O,_,_,O,_,_,_
la,B-ORG,_,O,_,_,O,_,_,_
raconter,I-PER,_,O,_,_,O,_,_,_
aux,I-PER,_,O,_,_,O,_,_,_
autres,I-PER,_,O,_,_,O,_,_,_
cama¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
rades,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
On,I-PER,_,O,_,_,O,_,_,_
en,O,_,O,_,_,O,_,_,_
parla,I-PER,_,O,_,_,O,_,_,_
entre,I-PER,_,O,_,_,O,_,_,_
jeunes,I-PER,_,O,_,_,O,_,_,_
filles,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
",",I-PER,_,O,_,_,O,_,_,_
on,I-PER,_,O,_,_,O,_,_,_
dis¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
cuta,B-ORG,_,O,_,_,O,_,_,_
longuement,B-ORG,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
conduite,O,_,O,_,_,O,_,_,_
de,B-ORG,_,O,_,_,O,_,_,_
Riri,O,_,O,_,_,O,NIL,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Le,I-PER,_,O,_,_,O,_,_,_
gentleman,I-ORG,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
ailleurs,I-PER,_,O,_,_,O,_,_,_
